index,query,start_time,end_time,initial_stability_seconds,debugger_seconds,finding_fixes_seconds,verify_seconds,filter_analysis_seconds,filter_experiment_seconds,carve_seconds,early_stability_seconds,total_seconds
,anvil__vdeployment_controller__proof__liveness__resource_match__lemma_from_after_scale_down_old_vrs_with_old_vrs_of_n_to_pending_scale_down_req_in_flight_inductive_step.smt2,2026-08-25T12:12:46,2026-08-25T12:14:46,120.234,0.005,0.000,0.000,0.000,0.000,0.000,0.000,120.239
,anvil__vdeployment_controller__proof__liveness__resource_match__lemma_from_after_scale_down_old_vrs_with_old_vrs_of_n_to_pending_scale_down_req_in_flight_inductive_step.smt2,2026-08-25T12:49:30,2026-08-25T12:51:30,120.219,0.003,0.000,0.000,0.000,0.000,0.000,0.000,120.223
,anvil__vdeployment_controller__proof__liveness__resource_match__lemma_from_after_send_create_new_vrs_req_to_receive_ok_resp.smt2,2026-08-25T12:51:31,2026-08-25T13:21:17,205.431,0.051,5.362,110.979,0.015,580.522,0.943,883.212,1786.515
,anvil__vdeployment_controller__proof__liveness__resource_match__lemma_from_after_send_get_then_update_req_to_receive_ok_resp_of_new_replicas.smt2,2026-08-25T13:21:18,2026-08-25T13:23:18,120.358,0.004,0.000,0.000,0.000,0.000,0.000,0.000,120.362
,anvil__vdeployment_controller__proof__liveness__resource_match__lemma_from_old_vrs_len_zero_at_scale_down_old_vrs_to_current_state_matches_inductive_step.smt2,2026-08-25T13:23:19,2026-08-25T13:26:01,162.330,0.005,0.000,0.000,0.000,0.000,0.000,0.000,162.335
,anvil__vdeployment_controller__proof__liveness__resource_match__lemma_from_receive_ok_resp_after_scale_new_vrs_to_after_ensure_new_vrs.smt2,2026-08-25T13:26:02,2026-08-25T13:28:02,120.367,0.004,0.000,0.000,0.000,0.000,0.000,0.000,120.371
,anvil__vdeployment_controller__proof__liveness__rolling_update__composition__lemma_inductive_current_state_matches_preserves_from_s_to_s_prime_during_api_server_step.smt2,2026-08-25T13:28:03,2026-08-25T13:48:58,378.190,0.050,5.074,96.517,0.015,368.646,0.878,405.724,1255.094
,anvil__vdeployment_controller__proof__liveness__rolling_update__resource_match__lemma_from_after_scale_new_vrs_to_not_desired_state_with_nv.smt2,2026-08-25T13:48:58,2026-08-25T14:09:43,243.096,0.051,10.631,119.287,0.035,494.357,0.886,376.312,1244.656
,anvil__vdeployment_controller__proof__liveness__rolling_update__resource_match__lemma_from_after_send_list_vrs_req_to_receive_list_vrs_resp_with_nv.smt2,2026-08-25T14:09:44,2026-08-25T14:23:54,192.212,0.051,5.397,75.531,0.015,356.335,0.872,219.035,849.448
,human-eval__human_eval_025.12.smt2,2026-08-25T14:23:54,2026-08-25T14:24:00,0.281,0.061,0.371,0.197,0.001,1.366,0.882,2.259,5.417
,human-eval__human_eval_025__factorize.1.smt2,2026-08-25T14:24:00,2026-08-25T14:24:06,0.225,0.083,0.302,0.196,0.002,1.350,0.865,2.549,5.572
,human-eval__human_eval_129.2.smt2,2026-08-25T14:24:06,2026-08-25T14:31:37,198.806,0.047,2.522,23.138,0.002,154.205,0.874,70.982,450.577
,human-eval__human_eval_129__find_smallest_adjacent_to_one.3.smt2,2026-08-25T14:31:38,2026-08-25T14:44:03,745.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,745.596
,human-eval__human_eval_129__min_path.smt2,2026-08-25T14:44:04,2026-08-25T14:55:43,140.085,0.047,3.013,120.686,0.007,290.526,0.869,143.675,698.907
,ironkv__host_protocol_t.10.smt2,2026-08-25T14:55:43,2026-08-25T14:55:43,0.190,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.194
,ironkv__host_protocol_t.5.smt2,2026-08-25T14:55:44,2026-08-25T14:55:44,0.237,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.243
,memory-allocator__commit_segment.1.smt2,2026-08-25T14:55:45,2026-08-25T14:57:00,75.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.329
,memory-allocator__config.35.smt2,2026-08-25T14:57:01,2026-08-25T14:57:05,0.222,0.066,0.389,0.164,0.010,1.497,0.863,1.016,4.227
,memory-allocator__os_alloc.4.smt2,2026-08-25T14:57:05,2026-08-25T14:57:13,0.303,0.070,0.681,0.255,0.002,1.754,0.865,3.291,7.221
,memory-allocator__page_organization__PageOrg__impl_%4__into_used_list_inductive.smt2,2026-08-25T14:57:13,2026-08-25T15:15:17,178.810,0.048,3.391,83.160,0.003,459.026,0.863,358.406,1083.707
,memory-allocator__page_organization__PageOrg__impl_%4__merge_with_after_inductive.smt2,2026-08-25T15:15:17,2026-08-25T15:34:53,194.308,0.048,3.300,102.712,0.006,318.854,0.880,555.674,1175.782
,memory-allocator__page_organization__PageOrg__impl_%4__out_of_used_list_inductive.smt2,2026-08-25T15:34:54,2026-08-25T15:39:27,273.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,273.023
,memory-allocator__queues__page_queue_remove.smt2,2026-08-25T15:39:27,2026-08-25T15:41:28,120.220,0.003,0.000,0.000,0.000,0.000,0.000,0.000,120.223
,memory-allocator__segment__span_queue_delete.smt2,2026-08-25T15:41:28,2026-08-25T16:00:09,209.757,0.047,4.657,71.521,0.005,458.925,0.873,374.803,1120.588
,node-replication__spec__cyclicbuffer.3.smt2,2026-08-25T16:00:10,2026-08-25T16:00:14,0.204,0.094,0.269,0.154,0.002,1.462,0.890,1.058,4.133
,node-replication__spec__cyclicbuffer.5.smt2,2026-08-25T16:00:14,2026-08-25T16:00:17,0.189,0.083,0.268,0.144,0.006,1.353,0.880,0.000,2.924
,page-table__definitions_ulib_definitions_u.impl_%3.lemma_entry_sizes_aligned._02.smt2,2026-08-25T16:00:18,2026-08-25T16:02:18,120.121,0.002,0.000,0.000,0.000,0.000,0.000,0.000,120.122
,page-table__impl_u__l2_impl__PT__map_frame_aux.smt2,2026-08-25T16:02:18,2026-08-25T16:04:19,120.212,0.003,0.000,0.000,0.000,0.000,0.000,0.000,120.215
,page-table__impl_u__os_refinement.31.smt2,2026-08-25T16:04:19,2026-08-25T16:05:47,88.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.324
,page-table__impl_u__os_refinement__next_step_refines_hl_next_step.smt2,2026-08-25T16:05:48,2026-08-25T16:07:48,120.261,0.002,0.000,0.000,0.000,0.000,0.000,0.000,120.263
,page-table__impl_u__wrapped_token__impl_%1__lemma_interps_match_aux1.smt2,2026-08-25T16:07:49,2026-08-25T16:10:35,11.194,0.046,3.170,72.939,0.001,78.239,0.866,0.000,166.455
,page-table__impl_u__wrapped_token__impl_%1__lemma_interps_match_aux2.smt2,2026-08-25T16:10:36,2026-08-25T16:14:47,5.163,0.047,2.035,63.203,0.002,73.883,0.862,105.761,250.956
,page-table__impl_u__wrapped_token__impl_%3__deallocate.smt2,2026-08-25T16:14:47,2026-08-25T16:23:38,100.246,0.049,3.809,138.490,0.003,286.958,0.879,0.000,530.434
,page-table__impl_u__wrapped_token__impl_%4__finish_protect_and_release_lock.smt2,2026-08-25T16:23:38,2026-08-25T16:41:15,120.272,0.070,5.388,35.239,0.008,407.657,0.882,487.131,1056.646
,page-table__spec_t__mmu__rl2.16.smt2,2026-08-25T16:41:16,2026-08-25T16:41:35,0.937,0.048,0.966,0.911,0.014,4.879,0.885,10.339,18.979
,page-table__spec_t__mmu__rl2__lemma_iter_walk_result_vbase_equal_aux2.smt2,2026-08-25T16:41:35,2026-08-25T16:42:35,1.932,0.046,0.677,4.355,0.001,13.113,0.891,38.429,59.444
,page-table__spec_t__mmu__rl2__step_WriteNonpos_preserves_inv_unmapping__inflight_walks.smt2,2026-08-25T16:42:35,2026-08-25T16:44:27,111.593,0.002,0.000,0.000,0.000,0.000,0.000,0.000,111.595
,page-table__spec_t__mmu__rl2__step_Writeback_preserves_inv_unmapping__inflight_walks.smt2,2026-08-25T16:44:27,2026-08-25T16:47:39,191.138,0.001,0.000,0.000,0.000,0.000,0.000,0.000,191.139
,page-table__spec_t__os_code_vc__lemma_concurrent_trs.smt2,2026-08-25T16:47:39,2026-08-25T17:09:49,391.939,0.047,3.787,128.360,0.004,418.714,0.868,386.274,1329.994
,page-table__spec_t__os_invariant__next_step_mmu_preserves_inv_tlb.smt2,2026-08-25T17:09:50,2026-08-25T17:11:50,120.252,0.002,0.000,0.000,0.000,0.000,0.000,0.000,120.254
,page-table__spec_t__os_invariant__next_step_mmu_preserves_inv_tlb_tlbfill.smt2,2026-08-25T17:11:51,2026-08-25T17:20:13,120.253,0.050,3.654,120.105,0.002,155.616,0.879,102.380,502.940
,page-table__spec_t__os_invariant__next_step_preserves_inv_lock.smt2,2026-08-25T17:25:51,2026-08-25T17:33:41,120.248,0.048,3.914,60.074,0.005,159.922,0.884,124.733,469.827
,svsm__mm__alloc.96.smt2,2026-08-25T17:33:41,2026-08-25T17:34:00,2.859,0.052,2.310,0.573,0.035,4.513,0.892,7.702,18.937
,svsm__mm__alloc__alloc_spec.9.smt2,2026-08-25T17:34:01,2026-08-25T17:34:13,0.754,0.088,0.680,0.738,0.006,3.230,0.898,6.067,12.460
,svsm__mm__alloc__alloc_spec__impl_%4__tracked_merge_pages.smt2,2026-08-25T17:34:14,2026-08-25T17:34:23,0.465,0.050,0.535,0.599,0.001,3.188,0.880,3.498,9.215
,svsm__mm__alloc__alloc_spec__impl_%4__tracked_split_pages.smt2,2026-08-25T17:34:24,2026-08-25T17:34:33,0.678,0.069,0.583,0.555,0.008,3.033,0.876,3.667,9.467
,svsm__mm__alloc__impl_%31___VERUS_VERIFIED_free_page_raw.smt2,2026-08-25T17:34:34,2026-08-25T17:34:55,2.006,0.054,1.059,0.845,0.003,5.851,0.891,10.479,21.189
,svsm__mm__alloc__impl_%31___VERUS_VERIFIED_get_next_page.smt2,2026-08-25T17:34:56,2026-08-25T17:35:05,0.813,0.051,0.868,0.569,0.003,3.582,0.887,2.791,9.565
,svsm__mm__alloc__impl_%31___VERUS_VERIFIED_split_page.smt2,2026-08-25T17:35:06,2026-08-25T17:35:23,2.387,0.050,1.587,2.046,0.010,10.179,0.877,0.000,17.136
,tla-rs__generated__RSL__learner_gen.13.smt2,2026-08-25T17:35:23,2026-08-25T17:35:33,0.840,0.079,0.954,0.330,0.005,2.771,0.885,3.896,9.759
,tla-rs__implementation__RSL__types_i.45.smt2,2026-08-25T17:35:34,2026-08-25T17:35:41,0.424,0.051,0.696,0.231,0.018,2.115,0.896,2.637,7.068
,tla-rs__protocol__Raft__refinement_proof__invariants.97.smt2,2026-08-25T17:35:41,2026-08-25T17:35:45,3.817,0.002,0.000,0.000,0.000,0.000,0.000,0.000,3.820
,verified-storage-multilog__multilog__inv_v.11.smt2,2026-08-25T17:35:46,2026-08-25T17:36:01,0.934,0.046,0.807,0.701,0.008,3.212,0.890,8.174,14.772
,verified-storage-multilog__multilog__inv_v.13.smt2,2026-08-25T17:36:01,2026-08-25T17:36:20,0.599,0.078,0.915,0.871,0.004,4.673,0.888,11.234,19.263
,verified-storage-multilog__multilog__inv_v.14.smt2,2026-08-25T17:36:21,2026-08-25T17:36:44,1.006,0.049,1.031,1.231,0.002,5.962,0.889,13.182,23.352
,verified-storage-multilog__multilog__inv_v.15.smt2,2026-08-25T17:36:45,2026-08-25T17:37:02,1.112,0.050,1.019,0.947,0.002,4.417,0.878,8.566,16.991
,verified-storage-multilog__multilog__inv_v.16.smt2,2026-08-25T17:37:03,2026-08-25T17:37:18,0.700,0.050,0.921,0.794,0.009,3.755,0.876,8.125,15.231
,verified-storage-multilog__multilog__inv_v.17.smt2,2026-08-25T17:37:18,2026-08-25T17:37:32,0.768,0.050,0.893,0.633,0.008,3.431,0.876,6.365,13.025
,verified-storage-multilog__multilog__inv_v.2.smt2,2026-08-25T17:37:32,2026-08-25T17:37:45,0.678,0.052,0.787,0.587,0.002,3.342,0.874,6.293,12.615
,verified-storage-multilog__multilog__inv_v.7.smt2,2026-08-25T17:37:45,2026-08-25T17:37:58,0.726,0.051,0.760,0.512,0.006,2.298,0.892,7.928,13.175
,verified-storage-multilog__multilog__inv_v.9.smt2,2026-08-25T17:37:59,2026-08-25T17:38:09,0.638,0.050,0.797,0.495,0.002,2.426,0.888,4.688,9.982
,verified-storage-multilog__multilog__setup_v.5.smt2,2026-08-25T17:38:10,2026-08-25T17:38:25,0.337,0.051,1.120,0.693,0.014,3.766,0.877,8.129,14.987
,verified-storage-multilog__multilog__setup_v.6.smt2,2026-08-25T17:38:25,2026-08-25T17:38:40,0.341,0.050,1.160,0.580,0.002,3.458,0.880,8.264,14.736
,verified-storage-multilog__multilog__start_v.2.smt2,2026-08-25T17:38:41,2026-08-25T17:39:06,0.760,0.050,1.447,1.210,0.015,6.343,0.879,14.282,24.985
,vest-vest__regular__variant.21.smt2,2026-08-25T17:39:06,2026-08-25T17:39:13,0.292,0.052,0.760,0.236,0.011,1.577,0.877,3.096,6.900
,vstd__arithmetic__div_mod.43.smt2,2026-08-25T17:39:14,2026-08-25T17:45:04,103.764,0.047,0.547,0.184,0.006,62.793,0.892,181.909,350.142
,vstd__arithmetic__internals__div_internals__lemma_div_auto_minus.smt2,2026-08-25T17:45:04,2026-08-25T17:47:29,68.931,0.046,0.886,1.581,0.001,68.911,0.868,3.157,144.381
,vstd__endianvstd_endian.impl_%1.from_big_to_big._02.smt2,2026-08-25T17:47:29,2026-08-25T17:49:30,120.135,0.001,0.000,0.000,0.000,0.000,0.000,0.000,120.136
,vstd__endianvstd_endian.impl_%1.from_big_to_big._03.smt2,2026-08-25T17:49:30,2026-08-25T17:51:30,120.147,0.001,0.000,0.000,0.000,0.000,0.000,0.000,120.148
,vstd__endianvstd_endian.impl_%1.to_big_from_big._02.smt2,2026-08-25T17:51:31,2026-08-25T17:56:33,120.125,0.049,0.312,180.093,0.000,0.581,0.886,0.000,302.047
,vstd__resource__impls__map.30.smt2,2026-08-25T17:56:33,2026-08-25T17:56:41,0.730,0.050,0.597,0.329,0.001,1.688,0.885,3.293,7.573
,vstd__resource__impls__seq.11.smt2,2026-08-25T17:56:41,2026-08-25T17:56:47,1.203,0.068,0.297,0.137,0.007,1.353,0.884,1.612,5.561
