index,slow time,fast time,result
1,1360.565,1269.086,NF
2,1531.745,1531.748,NP
3,3834.094,392.312,F
4,1503.538,1503.541,NP
5,1532.234,1532.237,NP
6,1503.038,1503.041,NP
7,2020.639,663.572,F
8,1878.447,815.181,F
9,2899.488,409.509,F
10,8.707,4.626,F
11,8.78,4.216,F
12,3034.026,246.753,F
13,2512.639,450.61,F
14,686.902,1021.252,NF
15,5.752,5.753,NP
16,5.584,5.585,NP
17,328.981,237.72,F
18,8.067,4.332,F
19,12.852,4.923,F
20,3402.051,566.955,F
21,2026.254,751.222,NF
22,3089.935,475.996,F
23,1497.508,1497.509,NP
24,5084.296,525.812,F
25,13.899,3.917,NF
26,7.285,2.269,NF
27,415.08,410.788,NF
28,1495.882,1495.883,NP
29,1429.903,1429.905,NP
30,1441.04,1441.042,NP
31,256.681,259.599,NF
32,201.65,331.352,F
33,1039.702,1178.731,NF
34,981.318,538.061,F
35,23.767,16.149,F
36,86.151,88.698,F
37,1511.857,1511.858,NP
38,1554.622,1554.623,NP
39,2624.437,625.552,F
40,1499.908,1499.909,NP
41,1632.458,263.581,F
42,2223.649,969.325,F
43,593.523,180.153,F
44,30.007,14.004,F
45,32.902,10.569,F
46,25.449,6.454,F
47,25.089,7.157,F
48,45.58,21.924,F
49,30.751,11.055,F
50,155.335,29.347,NF
51,45.464,8.169,F
52,28.223,4.433,F
53,649.619,649.621,NP
54,17.711,11.353,F
55,35.333,20.281,F
56,29.433,21.812,F
57,40.211,14.912,F
58,20.136,14.317,F
59,50.6,11.076,F
60,31.005,10.598,F
61,18.238,14.484,F
62,30.871,9.278,F
63,28.453,14.581,F
64,38.116,15.622,F
65,63.404,27.714,F
66,10.246,6.249,F
67,385.58,709.083,NF
68,271.357,33.681,F
69,505.167,500.844,NF
70,505.149,500.895,NF
71,1585.976,1581.691,NF
72,11.515,15.758,NAN
73,13.544,2.411,F
